gene_id	TCGA-BH-A0AY-01A-21R-A00Z-07	gene_id	TCGA-BH-A0AY-11A-23R-A089-07
CHMP5	1613.1943	CHMP5	1386.687
CHMP6	529.7697	CHMP6	376.9565
CHMP7	837.8966	CHMP7	1010.8696
CHM	296.3929	CHM	639.1304
CHN1	330.2912	CHN1	315.6522
CHN2	67.7966	CHN2	94.6913
CHODL	14.7762	CHODL	36.5217
CHORDC1	611.4733	CHORDC1	406.9565
CHPF2	1318.1226	CHPF2	753.0435
CHPF	3292.9161	CHPF	911.7391
CHPT1	1000	CHPT1	2538.2609
CHP	3361.1473	CHP	2885.6522
CHRAC1	967.8401	CHRAC1	538.6957
CHRDL1	711.8644	CHRDL1	5742.6087
CHRD	137.3316	CHRD	198.6957
CHRFAM7A	10.8648	CHRFAM7A	25.6522
CHRM1	35.6367	CHRM1	80.8696
CHRM3	5.6497	CHRM3	22.6087
removed	removed	CHRNA10	9.1304
CHRNA1	74.3155	removed	removed
removed	removed	CHRNA3	9.5652
CHRNA5	61.7123	CHRNA5	43.4783
CHRNB1	136.0278	CHRNB1	230.4348
removed	removed	CHRNB2	32.6087
CHRNE	12.2729	CHRNE	17.7174
CHST10	298.5658	CHST10	310.4348
CHST11	158.1921	CHST11	64.3478
CHST12	347.6749	CHST12	294.7826
CHST13	13.0378	CHST13	6.5217
CHST14	601.4776	CHST14	535.6522
CHST15	1126.9013	CHST15	1216.9565
CHST1	316.8188	CHST1	61.7391
CHST2	105.1717	CHST2	191.3043
CHST3	302.4772	CHST3	1330
removed	removed	CHST4	30.4348
CHST6	96.9144	CHST6	8.2609
CHST7	106.91	CHST7	198.2609
CHST8	189.9174	CHST8	243.4783
CHST9	7.3881	CHST9	247.8261
CHSY1	1834.8544	CHSY1	2474.3478
CHSY3	164.2764	CHSY3	108.6957
CHTF18	495.4368	CHTF18	78.6957
CHTF8	1751.847	CHTF8	2353.4783
CHUK	385.05	CHUK	603.0435
CHURC1	1093.1508	CHURC1	1616.1217
CIAO1	1451.1082	CIAO1	1798.6957
CIAPIN1	750.5432	CIAPIN1	667.3913
CIB1	1972.186	CIB1	1163.913
CIB2	38.6788	CIB2	110.8696
CIB3	5.2151	removed	removed
CIC	1575.402	CIC	1602.6087
CIDEA	40.4172	CIDEA	256.9565
CIDEB	279.7001	CIDEB	388.6652
CIDECP	107.3446	CIDECP	91.3043
CIDEC	290.7432	CIDEC	3075.2174
CIITA	248.5876	CIITA	156.087
CILP2	647.5445	CILP2	16.087
CILP	9700.565	CILP	1892.6087
CINP	475.8801	CINP	332.1739
CIR1	885.2673	CIR1	965.2174
CIRBP	2759.6697	CIRBP	6496.5217
CIRH1A	764.4502	CIRH1A	825.2174
CISD1	432.8553	CISD1	271.7391
CISD2	482.399	CISD2	450.4348
CISD3	819.0004	CISD3	563.8913
CISH	2244.6762	CISH	410
CITED1	22.5989	CITED1	1310.4348
CITED2	2932.638	CITED2	3057.8261
CITED4	727.0752	CITED4	785.6522
CIT	156.8883	CIT	105.6522
CIZ1	1843.1117	CIZ1	1539.5652
CKAP2L	88.6571	CKAP2L	8.2609
CKAP2	517.1664	CKAP2	239.5652
CKAP4	3149.0656	CKAP4	1732.6087
CKAP5	3002.173	CKAP5	1913.4783
CKB	724.9022	CKB	605.6522
CKLF	399.8262	CKLF	262.6087
removed	removed	CKMT1A	54.7826
CKMT1B	9.1265	CKMT1B	108.6957
CKMT2	15.2108	CKMT2	131.7391
CKS1B	959.1482	CKS1B	464.3478
CKS2	568.0139	CKS2	71.3043
CLASP1	953.9331	CLASP1	1596.9565
CLASP2	618.4268	CLASP2	1658.6957
removed	removed	CLCA2	83.4783
removed	removed	CLCA4	39.1304
CLCC1	623.4637	CLCC1	974.1348
CLCF1	26.5102	CLCF1	70.4348
CLCN2	73.0117	CLCN2	88.2609
CLCN3	1093.003	CLCN3	1279.1304
CLCN4	68.6658	CLCN4	177.3913
CLCN5	242.0687	CLCN5	130.8696
CLCN6	237.2881	CLCN6	549.1304
CLCN7	2095.6106	CLCN7	1007.3913
removed	removed	CLCNKA	17.8261
CLCNKB	5.2151	CLCNKB	7.8261
CLDN10	7.3881	CLDN10	18.5913
CLDN11	244.2416	CLDN11	1297.6435
CLDN12	505.867	CLDN12	971.7391
CLDN14	12.1686	removed	removed
CLDN15	98.2182	CLDN15	186.9565
removed	removed	CLDN19	199.5652
CLDN1	88.2225	CLDN1	516.5217
CLDN20	5.2151	removed	removed
CLDN23	123.8592	CLDN23	98.2609
CLDN2	8.2573	CLDN2	28.6652
CLDN3	4176.445	CLDN3	419.1304
CLDN4	8550.1956	CLDN4	3409.5652
CLDN5	556.2799	CLDN5	2504.3478
CLDN7	2428.0748	CLDN7	878.6957
CLDN8	21.7297	CLDN8	613.0435
CLDN9	53.455	CLDN9	7.3913
CLDND1	653.6289	CLDND1	1359.5652
removed	removed	CLDND2	14.7826
CLEC10A	62.1469	CLEC10A	106.5217
CLEC11A	512.8205	CLEC11A	166.9565
CLEC12A	10.8648	removed	removed
CLEC14A	838.3312	CLEC14A	1438.6957
CLEC16A	952.6293	CLEC16A	578.2609
CLEC1A	67.7966	CLEC1A	231.3043
CLEC2B	504.5632	CLEC2B	408.6957
CLEC2D	390.6997	CLEC2D	534.3478
removed	removed	CLEC2L	6.5217
CLEC3A	7097.7836	CLEC3A	284.7826
CLEC3B	1027.3794	CLEC3B	2959.5652
CLEC4A	26.0756	CLEC4A	31.7391
CLEC4E	11.2994	CLEC4E	9.5652
CLEC4F	19.1221	CLEC4F	62.6087
removed	removed	CLEC4GP1	10.4348
CLEC4G	5.6497	CLEC4G	6.9565
removed	removed	CLEC4M	7.3913
CLEC5A	55.1934	removed	removed
CLEC7A	203.3898	CLEC7A	52.6087
removed	removed	CLEC9A	8.6957
CLECL1	16.9492	CLECL1	5.6522
CLGN	88.2225	CLGN	12.1739
CLIC1	6438.505	CLIC1	4814.7826
CLIC2	422.425	CLIC2	814.7826
CLIC3	204.6936	CLIC3	23.4783
CLIC4	4503.2595	CLIC4	6868.6957
CLIC5	150.804	CLIC5	541.7391
CLIC6	114.2981	CLIC6	137.3913
CLINT1	1228.5963	CLINT1	1713.0435
CLIP1	1591.9166	CLIP1	2342.6087
CLIP2	463.7114	CLIP2	491.3043
CLIP3	564.1026	CLIP3	767.3913
CLIP4	89.0917	CLIP4	760
CLK1	728.8136	CLK1	2244.7826
CLK2P	22.5989	CLK2P	22.6087
CLK2	703.1725	CLK2	723.913
CLK3	585.3977	CLK3	856.087
CLK4	224.2503	CLK4	613.913
CLMN	1132.9857	CLMN	1507.3913
CLN3	2251.1951	CLN3	805.2174
CLN5	456.7579	CLN5	1076.5217
CLN6	936.1147	CLN6	581.7391
CLN8	245.1108	CLN8	341.7391
CLNS1A	1881.3559	CLNS1A	1198.2609
CLOCK	450.239	CLOCK	359.1304
CLP1	236.4189	CLP1	212.6087
CLPB	370.2738	CLPB	194.7826
CLPP	563.2334	CLPP	462.1739
CLPTM1L	1453.7158	CLPTM1L	1664.7826
CLPTM1	2768.7962	CLPTM1	1980.8696
CLPX	579.3133	CLPX	753.0435
CLSPN	78.2269	CLSPN	15.6522
CLSTN1	4592.7249	CLSTN1	5481.3043
CLSTN2	108.2138	CLSTN2	624.7826
CLSTN3	1427.6402	CLSTN3	1117.8261
CLTA	2583.6593	CLTA	2045.6522
CLTB	996.0887	CLTB	855.6522
CLTCL1	35.2021	CLTCL1	104.7826
CLTC	16426.771	CLTC	9077.3913
CLUAP1	718.3833	CLUAP1	486.9565
removed	removed	CLUL1	63.0435
CLU	13159.0613	CLU	26436.087
removed	removed	CLVS1	30.5174
CLYBL	103.4333	CLYBL	129.1304
CMA1	106.4754	CMA1	46.5217
CMAH	252.0643	CMAH	413.0435
CMAS	434.5937	CMAS	688.2609
CMBL	595.8279	CMBL	1094.7826
CMC1	77.3577	CMC1	90
CMIP	1215.1239	CMIP	1599.1304
CMKLR1	585.3977	CMKLR1	396.9565
CMPK1	2765.754	CMPK1	3780
CMPK2	225.9887	CMPK2	113.913
CMTM1	83.0074	CMTM1	86.087
CMTM3	1826.5971	CMTM3	1119.1304
CMTM4	2025.641	CMTM4	786.087
removed	removed	CMTM5	20.4348
CMTM6	1933.9418	CMTM6	2588.2609
CMTM7	251.1951	CMTM7	733.913
CMTM8	236.4189	CMTM8	105.6522
CMYA5	231.6384	CMYA5	710.8696
removed	removed	CN5H6.4	5.2174
CNBP	6176.0104	CNBP	8982.6087
CNDP2	5990.4389	CNDP2	3071.7391
CNFN	148.1964	CNFN	37.3913
removed	removed	CNGA1	39.1304
removed	removed	CNGA4	7.3913
CNIH2	76.0539	removed	removed
CNIH3	166.0148	CNIH3	61.3043
CNIH4	1374.6197	CNIH4	543.913
CNIH	933.0726	CNIH	975.2174
CNKSR1	491.96	CNKSR1	270
removed	removed	CNKSR2	10
CNKSR3	138.2008	CNKSR3	273.4783
CNN1	394.611	CNN1	3697.3913
CNN2	3892.6554	CNN2	2858.6957
CNN3	4662.7553	CNN3	5712.6087
removed	removed	CNNM1	53.0435
CNNM2	95.176	CNNM2	142.1739
CNNM3	674.9239	CNNM3	996.5217
CNNM4	724.033	CNNM4	608.2609
CNOT10	664.4937	CNOT10	528.2609
CNOT1	2518.7701	CNOT1	3603.7217
CNOT2	1259.4524	CNOT2	1355.6522
CNOT3	924.3807	CNOT3	784.7826
CNOT4	434.1591	CNOT4	566.087
CNOT6L	799.2177	CNOT6L	1544.7826
CNOT6	1254.6719	CNOT6	946.5217
CNOT7	1161.2342	CNOT7	1563.4783
CNOT8	1169.0569	CNOT8	1754.3478
CNO	373.3159	CNO	208.2609
CNPY2	1495.0022	CNPY2	1003.913
CNPY3	1311.6037	CNPY3	1052.6087
CNPY4	415.0369	CNPY4	370.4348
CNP	2727.3881	CNP	1763.4304
CNR1	59.5393	CNR1	180
CNRIP1	430.2477	CNRIP1	594.3478
CNST	567.5793	CNST	918.2609
CNTD1	14.4242	CNTD1	44.6261
CNTD2	14.3416	CNTD2	12.6087
CNTFR	41.721	CNTFR	360
CNTF	7.8227	CNTF	7.8261
CNTLN	96.4798	CNTLN	253.913
CNTN1	64.3199	CNTN1	308.6957
removed	removed	CNTN2	10
CNTN3	31.2907	CNTN3	82.1739
CNTN4	128.2051	CNTN4	217.3913
CNTN6	360.7127	CNTN6	13.913
CNTNAP1	153.4116	CNTNAP1	190.8696
CNTNAP2	1136.0278	CNTNAP2	13.913
CNTNAP3	12.6032	CNTNAP3	242.6087
CNTROB	539.3307	CNTROB	670.8696
COASY	1061.2777	COASY	1081.3043
COBLL1	684.9196	COBLL1	1660
COBL	173.8375	COBL	1130.8696
COBRA1	1544.1113	COBRA1	1020.4348
COCH	17.3837	COCH	40.9783
COG1	797.2708	COG1	932.2652
COG2	759.2351	COG2	732.1739
COG3	435.4628	COG3	1000.8696
COG4	926.9883	COG4	1005.2174
COG5	675.8279	COG5	1017.8304
COG6	409.8218	COG6	711.7391
COG7	787.4837	COG7	658.6957
COG8	442.7162	COG8	377.2478
COIL	218.6006	COIL	491.7391
COL10A1	2399.3916	COL10A1	13.4783
COL11A1	7737.5054	COL11A1	32.6087
COL11A2	11.2994	COL11A2	7.8261
COL12A1	19471.9687	COL12A1	3723.0435
COL13A1	48.2399	COL13A1	12.6087
COL14A1	2911.3429	COL14A1	4256.5217
COL15A1	5887.8748	COL15A1	5473.0435
COL16A1	2159.4959	COL16A1	1674.7826
COL17A1	11.734	COL17A1	5314.7826
COL18A1	7549.3264	COL18A1	3203.0435
COL1A1	263798.3485	COL1A1	11675.6522
COL1A2	175715.7757	COL1A2	22461.3043
COL21A1	9.5611	COL21A1	68.6957
COL22A1	50.4129	COL22A1	12.1739
COL23A1	7.8227	COL23A1	87.8261
COL24A1	19.9913	COL24A1	24.7826
COL25A1	7.8227	COL25A1	103.0435
COL27A1	49.9783	COL27A1	383.913
removed	removed	COL28A1	38.6957
removed	removed	COL2A1	84.7826
COL3A1	156185.5715	COL3A1	19781.7391
COL4A1	17624.9457	COL4A1	8503.4783
COL4A2	16604.5198	COL4A2	8856.9565
COL4A3BP	746.1973	COL4A3BP	1578.6957
removed	removed	COL4A3	16.9565
COL4A4	29.987	COL4A4	36.087
COL4A5	523.2508	COL4A5	604.3478
COL4A6	5.6497	COL4A6	252.6087
COL5A1	19253.3681	COL5A1	1607.8261
COL5A2	16835.7236	COL5A2	2374.3478
COL5A3	1554.1069	COL5A3	791.3043
COL6A1	26343.7636	COL6A1	8462.1739
COL6A2	29138.2008	COL6A2	11582.6087
COL6A3	48911.3429	COL6A3	12768.2609
COL6A6	59.5393	COL6A6	712.1739
COL7A1	45.6323	COL7A1	525.6522
COL8A1	1507.6054	COL8A1	354.3478
COL8A2	1452.8466	COL8A2	1059.1304
removed	removed	COL9A1	5.6522
COL9A2	350.2825	COL9A2	270
COL9A3	32.5945	COL9A3	25.2174
COLEC11	15.6454	COLEC11	27.3913
COLEC12	733.1595	COLEC12	1270.8696
COLQ	14.7762	COLQ	39.5652
COMMD10	361.5819	COMMD10	397.3913
COMMD1	343.7636	COMMD1	377.3913
COMMD2	673.6202	COMMD2	1015.6522
COMMD3	642.3164	COMMD3	557.5348
COMMD4	814.4285	COMMD4	583.4783
COMMD5	1232.0513	COMMD5	380.3826
COMMD6	840.0695	COMMD6	1907.3913
COMMD7	1970.4476	COMMD7	1027.8261
COMMD8	204.6936	COMMD8	218.2609
COMMD9	1027.814	COMMD9	626.9565
COMP	4495.8714	COMP	40.8696
COMTD1	266.8405	COMTD1	38.6957
COMT	1622.3381	COMT	1378.6957
COPA	8450.0652	COPA	5266.9565
COPB1	2666.2321	COPB1	3234.113
COPB2	4863.5376	COPB2	3618.2609
COPE	2688.3963	COPE	1189.5652
COPG2	330.2912	COPG2	686.9565
COPG	4421.5558	COPG	3479.5652
COPS2	1294.2199	COPS2	2289.1304
COPS3	694.9153	COPS3	967.8261
COPS4	1095.176	COPS4	1081.3043
COPS5	2304.2156	COPS5	956.087
COPS6	1862.2338	COPS6	1546.5217
COPS7A	1233.3768	COPS7A	1249.5652
COPS7B	595.8279	COPS7B	461.3043
COPS8	1071.2256	COPS8	985.1217
COPZ1	4482.8336	COPZ1	3385.2174
COPZ2	446.7623	COPZ2	497.8261
COQ10A	80.3998	COQ10A	150.8696
COQ10B	428.5093	COQ10B	720.4348
COQ2	255.9757	COQ2	123.913
COQ3	158.6267	COQ3	170.4348
COQ4	770.5346	COQ4	612.6087
COQ5	590.1782	COQ5	586.087
COQ6	354.1417	COQ6	303.2
COQ7	671.4472	COQ7	458.6957
COQ9	630.1608	COQ9	636.5217
CORIN	34.7675	CORIN	16.087
CORO1A	819.6436	CORO1A	351.3043
CORO1B	2571.0561	CORO1B	1233.4783
CORO1C	2305.9539	CORO1C	2760.8696
CORO2A	1324.6415	CORO2A	475.6522
CORO2B	128.2051	CORO2B	299.1304
CORO6	13.907	CORO6	42.6087
CORO7	625.289	CORO7	267.0783
removed	removed	CORT	7.613
COTL1	3937.4185	COTL1	1762.1739
COX10	209.4741	COX10	276.087
COX11	368.9613	COX11	823.3174
COX15	1149.7436	COX15	1088.4739
COX16	877.4446	COX16	747.3913
COX17	615.8192	COX17	420.8696
COX18	451.9774	COX18	375.6522
COX19	184.1895	COX19	253.3304
COX4I1	3568.8831	COX4I1	4071.3043
COX4I2	53.8896	COX4I2	78.6957
COX4NB	440.678	COX4NB	405.6522
COX5A	1667.1013	COX5A	1083.913
COX5B	1163.4072	COX5B	1293.913
COX6A1	2175.1412	COX6A1	1297.3913
COX6B1	3737.5054	COX6B1	1907.3913
COX6B2	26.9448	COX6B2	5.6522
COX6C	5482.8336	COX6C	1754.3478
COX7A1	248.5876	COX7A1	701.7391
COX7A2L	2348.5441	COX7A2L	1876.5217
COX7A2	2213.3855	COX7A2	1131.7391
COX7B	2076.9231	COX7B	1300.8696
COX7C	1944.372	COX7C	2897.3913
COX8A	2707.0839	COX8A	1054.7826
CP110	684.9196	CP110	594.3478
removed	removed	CPA1	33.0435
CPA3	2187.7445	CPA3	255.6522
CPA4	15.6454	CPA4	21.7391
CPAMD8	241.1995	CPAMD8	369.5652
CPB1	1065.189	CPB1	3010.8696
CPD	1763.1465	CPD	3414.3478
removed	removed	CPEB1	23.913
CPEB2	497.6097	CPEB2	739.5652
CPEB3	106.4754	CPEB3	244.7826
CPEB4	476.7492	CPEB4	1065.2174
CPE	1331.1604	CPE	6150.4348
CPLX1	86.0495	CPLX1	96.5217
CPM	595.3933	CPM	1141.3043
CPN2	9.1265	removed	removed
CPNE1	1990.4346	CPNE1	1085.987
CPNE2	640.1565	CPNE2	919.5652
CPNE3	8262.9292	CPNE3	3095.6522
CPNE5	52.1512	CPNE5	87.8261
CPNE7	100.3911	CPNE7	5.2174
CPNE8	102.5641	CPNE8	318.6957
CPOX	102.1295	CPOX	316.5217
CPPED1	1594.0895	CPPED1	614.7826
CPS1	36.0713	CPS1	247.3913
CPSF1	2985.2238	CPSF1	737.8261
CPSF2	1338.9831	CPSF2	1203.0435
CPSF3L	1307.2577	CPSF3L	978.6957
CPSF3	950.4563	CPSF3	669.1304
CPSF4	279.8783	CPSF4	410
CPSF6	1419.3829	CPSF6	1355.6522
CPSF7	1917.4272	CPSF7	2118.2609
CPT1A	2169.9261	CPT1A	2327.3913
CPT1B	103.3116	CPT1B	267.9043
CPT1C	64.7545	CPT1C	84.7826
CPT2	766.1886	CPT2	584.7826
CPVL	443.2855	CPVL	633.4783
CPXM1	923.0769	CPXM1	507.3913
CPXM2	1181.2256	CPXM2	2733.913
CPZ	465.4498	CPZ	374.7826
CP	174.0548	CP	1896.5609
CR1	73.4463	CR1	27.3913
CR2	8.2573	CR2	10.8696
CRABP1	350.2825	CRABP1	209.5652
CRABP2	20877.01	CRABP2	2705.2174
CRADD	142.1121	CRADD	204.7826
CRAMP1L	1073.9027	CRAMP1L	639.5652
CRAT	6570.1869	CRAT	867.8261
removed	removed	CRB1	6.5217
removed	removed	CRB2	23.913
CRB3	174.2721	CRB3	95.2174
CRBN	549.874	CRBN	921.3609
CRCP	1321.5993	CRCP	785.6522
CREB1	1167.3186	CREB1	1491.3043
CREB3L1	2292.9161	CREB3L1	258.6957
CREB3L2	2735.3325	CREB3L2	4080
CREB3L4	3230.3346	CREB3L4	1016.087
CREB3	1571.269	CREB3	1010.413
CREB5	120.817	CREB5	489.1304
CREBBP	3286.3972	CREBBP	2716.9565
CREBL2	1504.1286	CREBL2	2689.5652
CREBZF	707.9531	CREBZF	1147.3913
CREG1	1598.4355	CREG1	3202.6087
CRELD1	376.7927	CRELD1	650.4348
CRELD2	590.1782	CRELD2	405.6522
CREM	505.867	CREM	409.5652
CRHBP	14.3416	CRHBP	24.7826
CRHR1	8.6875	CRHR1	33.5957
CRIM1	1142.1121	CRIM1	8643.0435
CRIP1	9307.2577	CRIP1	1953.0435
CRIP2	6567.1447	CRIP2	1978.2609
CRIPAK	155.5845	CRIPAK	190
CRIPT	215.1239	CRIPT	372.6087
CRISP1	5.2151	removed	removed
removed	removed	CRISP2	10
CRISP3	524.1199	CRISP3	16.5217
CRISPLD1	47.3707	CRISPLD1	969.5652
CRISPLD2	1700.1304	CRISPLD2	1273.913
CRKL	2421.1213	CRKL	1893.0435
CRK	967.4055	CRK	1272.1739
CRLF1	94.3068	CRLF1	37.8261
CRLF3	222.512	CRLF3	387.3913
CRLS1	618.4268	CRLS1	751.3043
CRMP1	83.0074	CRMP1	213.4609
CRNKL1	849.196	CRNKL1	1013.4783
CROCCL1	109.5306	CROCCL1	321.013
CROCCL2	32.5945	CROCCL2	87.8261
CROCC	320.2955	CROCC	440.4348
CROT	561.9296	CROT	564.3478
CRTAC1	6.0843	CRTAC1	68.2609
CRTAM	23.0335	CRTAM	17.3913
CRTAP	5494.133	CRTAP	7554.7826
CRTC1	369.8392	CRTC1	306.087
CRTC2	818.7744	CRTC2	745.6522
CRTC3	976.0973	CRTC3	1590
CRY1	304.6502	CRY1	502.1739
CRY2	1389.3959	CRY2	2397.3913
CRYAB	870.0565	CRYAB	7483.913
CRYBB1	24.3372	removed	removed
CRYBG3	298.6397	CRYBG3	1015.6435
removed	removed	CRYGS	6.5913
CRYL1	397.6532	CRYL1	610
CRYM	6.0843	removed	removed
CRYZL1	343.5115	CRYZL1	450.3174
CRYZ	698.0487	CRYZ	1233.1478
CSAD	333.3333	CSAD	424.3478
CSDAP1	39.1134	CSDAP1	99.5652
CSDA	1817.9053	CSDA	3073.4783
CSDC2	37.3751	CSDC2	29.1304
CSDE1	13942.6336	CSDE1	19333.4783
CSE1L	3294.2199	CSE1L	1874.3478
CSF1R	1235.5498	CSF1R	1028.2609
CSF1	596.2625	CSF1	1447.8261
CSF2RA	96.9144	CSF2RA	291.7391
CSF2RB	281.6167	CSF2RB	416.9565
CSF3R	544.5458	CSF3R	99.5652
CSF3	9.1265	CSF3	22.1739
CSGALNACT1	220.7736	CSGALNACT1	587.8261
CSGALNACT2	660.1478	CSGALNACT2	698.6957
CSK	1530.2043	CSK	699.1304
CSMD1	5.2151	CSMD1	40.8696
CSMD2	49.9783	removed	removed
CSNK1A1L	5.2151	CSNK1A1L	5.2174
CSNK1A1	5172.5337	CSNK1A1	5951.7391
CSNK1D	3420.6867	CSNK1D	2560.8696
CSNK1E	1259.4524	CSNK1E	2030.1261
CSNK1G1	533.681	CSNK1G1	481.3043
CSNK1G2	614.5154	CSNK1G2	598.6957
CSNK1G3	402.8683	CSNK1G3	832.1739
CSNK2A1P	408.9526	CSNK2A1P	375.6522
CSNK2A1	1311.1691	CSNK2A1	1020
CSNK2A2	330.2912	CSNK2A2	661.3043
CSNK2B	3803.8244	CSNK2B	1737.3913
CSPG4	774.4459	CSPG4	929.5652
CSPG5	20.8605	CSPG5	16.9565
CSPP1	573.5072	CSPP1	305.1
CSRNP1	1070.8388	CSRNP1	4120.4348
CSRNP2	1475.8801	CSRNP2	882.6087
removed	removed	CSRNP3	27.3913
CSRP1	5192.0904	CSRP1	15586.087
CSRP2BP	381.1386	CSRP2BP	548.2609
CSRP2	210.7779	CSRP2	518.2609
removed	removed	CST11	5.2174
CST1	252.0643	removed	removed
CST2	12.1686	removed	removed
CST3	3541.5037	CST3	8303.0435
CST4	17.3837	removed	removed
CST6	58.2355	CST6	19.1304
CST7	108.6484	CST7	77.8261
removed	removed	CST9	308.2609
CSTA	105.6063	CSTA	303.0435
CSTB	2634.0721	CSTB	2266.9565
CSTF1	541.0691	CSTF1	538.6957
CSTF2T	947.4142	CSTF2T	998.2609
CSTF2	342.8944	CSTF2	278.6957
CSTF3	626.6841	CSTF3	460.9565
CS	3792.6988	CS	4228.6957
CT62	33.0291	CT62	76.5217
removed	removed	CTAG2	5.2174
CTAGE4	31.2907	CTAGE4	66.087
CTAGE5	754.02	CTAGE5	866.5217
removed	removed	CTAGE6	11.3043
CTAGE9	79.096	CTAGE9	171.7391
CTBP1	2867.6836	CTBP1	1696.6304
CTBP2	4415.4715	CTBP2	1558.2609
CTBS	390.6997	CTBS	494.3435
CTCFL	22.5989	CTCFL	7.3652
CTCF	1370.2738	CTCF	1733.0435
CTDP1	373.7505	CTDP1	417.3913
CTDSP1	2999.5654	CTDSP1	3061.3043
CTDSP2	3651.0213	CTDSP2	6233.913
CTDSPL2	517.1664	CTDSPL2	744.3478
CTDSPL	1181.2256	CTDSPL	1630
CTF1	32.1599	CTF1	264.7826
CTGF	8956.106	CTGF	11938.2609
CTHRC1	4046.9361	CTHRC1	408.2609
CTH	49.5437	CTH	60
CTLA4	7.3881	removed	removed
CTNNA1	8657.1056	CTNNA1	9620.4348
CTNNAL1	605.8236	CTNNAL1	810.4348
CTNNB1	8794.8544	CTNNB1	11969.7565
CTNNBIP1	1186.4407	CTNNBIP1	1193.4783
CTNNBL1	1176.0104	CTNNBL1	913.4783
CTNND1	7679.7045	CTNND1	8856.9565
CTNND2	9.1265	CTNND2	37.8261
CTNS	414.2547	CTNS	390.8043
CTPS2	1793.568	CTPS2	530.8696
CTPS	549.761	CTPS	250.4348
CTR9	884.3981	CTR9	1643.4783
CTSA	4414.4546	CTSA	1895.587
CTSB	25873.9678	CTSB	9574.7826
CTSC	2628.4224	CTSC	1659.5652
CTSD	38698.392	CTSD	8262.6087
removed	removed	CTSE	6.5217
CTSF	1991.3081	CTSF	2382.1739
CTSG	577.1404	CTSG	113.4783
CTSH	2660.1478	CTSH	1990
CTSK	9803.9983	CTSK	4266.087
CTSL1	2475.0109	CTSL1	1576.087
removed	removed	CTSL2	64.3478
CTSO	951.3255	CTSO	1601.7391
CTSS	2222.0774	CTSS	1199.5652
CTSW	189.4828	CTSW	136.5217
CTSZ	9761.8427	CTSZ	4438.2609
CTTNBP2NL	677.9661	CTTNBP2NL	1241.7391
CTTNBP2	27.814	CTTNBP2	180
CTTN	4806.6058	CTTN	3872.6087
CTU1	39.548	CTU1	31.7391
CTU2	144.7936	CTU2	116.7348
CTXN1	737.94	CTXN1	44.3478
CUBN	47.3707	CUBN	133.4783
CUEDC1	345.9365	CUEDC1	352.1739
CUEDC2	866.1452	CUEDC2	693.0435
CUL1	1025.641	CUL1	1558.2609
CUL2	692.3077	CUL2	794.3478
CUL3	1706.6493	CUL3	1971.3043
CUL4A	1358.5398	CUL4A	1721.7391
CUL4B	1409.3872	CUL4B	1816.087
CUL5	508.4746	CUL5	1027.3913
CUL7	1078.1312	CUL7	1027.3348
CUL9	375.4889	CUL9	628.6957
CUTA	2679.7045	CUTA	1702.6087
CUTC	226.1191	CUTC	417.913
CUX1	774.8805	CUX1	1039.5652
CUZD1	13.9809	CUZD1	11.3391
CWC15	654.0635	CWC15	728.2609
CWC22	387.6575	CWC22	832.1739
CWC25	249.0222	CWC25	490
CWC27	443.2855	CWC27	450.4348
CWF19L1	449.8044	CWF19L1	485.2174
CWF19L2	646.6754	CWF19L2	670.8696
CX3CL1	365.4933	CX3CL1	6953.0435
CX3CR1	38.6788	CX3CR1	497.3913
CXADRP3	10.8648	CXADRP3	6.087
CXADR	244.2416	CXADR	185.2174
CXCL10	759.2351	CXCL10	65.6522
CXCL11	176.0104	CXCL11	19.5652
CXCL12	4347.6749	CXCL12	12391.3043
CXCL13	40.4172	removed	removed
CXCL14	1914.8196	CXCL14	7022.1739
CXCL16	1624.5111	CXCL16	1044.7826
CXCL17	20.4259	CXCL17	51.7391
removed	removed	CXCL1	17.8261
CXCL2	8.6919	CXCL2	343.4783
removed	removed	CXCL3	12.6087
removed	removed	CXCL5	33.0435
removed	removed	CXCL6	13.0435
CXCL9	851.8036	CXCL9	224.7826
CXCR2	9.1265	CXCR2	12.6087
CXCR3	79.096	CXCR3	15.6522
CXCR4	2554.5415	CXCR4	1468.6957
CXCR5	9.9957	removed	removed
CXCR6	45.1977	CXCR6	60.8696
CXCR7	1184.7023	CXCR7	2732.6087
CXXC1	582.7901	CXXC1	573.4783
CXXC4	19.5567	CXXC4	8.6957
CXXC5	983.4854	CXXC5	442.1739
CXorf21	60.8431	CXorf21	53.0435
CXorf23	135.5932	CXorf23	297.3913
CXorf26	776.6189	CXorf26	455.2174
CXorf36	964.3633	CXorf36	2799.5652
CXorf38	202.9552	CXorf38	216.087
CXorf40A	551.9339	CXorf40A	358.6957
CXorf40B	653.1943	CXorf40B	321.7391
CXorf42	6.0843	CXorf42	35.6522
CXorf56	262.4946	CXorf56	245.2174
CXorf57	41.2864	CXorf57	65.6522
removed	removed	CXorf61	5.6522
CYB561D1	204.259	CYB561D1	221.3043
CYB561D2	675.3585	CYB561D2	252.1739
CYB561	5225.5541	CYB561	2095.2174
CYB5A	3099.5219	CYB5A	2106.9565
CYB5B	1176.445	CYB5B	1554.3478
CYB5D1	430.6823	CYB5D1	770.8696
CYB5D2	395.0456	CYB5D2	712.1739
