gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
DYNC2H1	478.9157	DYNC2H1	100.8273
DYNC2LI1	323.6278	DYNC2LI1	112.7198
DYNLL1	2742.6372	DYNLL1	857.8077
DYNLL2	1063.5877	DYNLL2	3745.605
DYNLRB1	2738.9558	DYNLRB1	1788.5212
DYNLRB2	46.1847	removed	removed
DYNLT1	1403.9491	DYNLT1	789.0383
DYNLT3	1122.8246	DYNLT3	377.9731
DYRK1A	2313.5877	DYRK1A	3937.9524
DYRK1B	532.7979	DYRK1B	6216.6494
DYRK2	611.4458	DYRK2	3004.6536
DYRK3	151.9411	DYRK3	80.1448
DYRK4	244.6452	DYRK4	214.0641
removed	removed	DYSFIP1	10729.0589
DYSF	793.842	DYSF	10349.5346
DYX1C1	130.5221	removed	removed
DZIP1L	65.261	DZIP1L	18.6143
DZIP1	229.8695	DZIP1	126.8304
DZIP3	278.7818	DZIP3	1156.1272
E2F1	54.2169	E2F1	36.7115
E2F2	16.0643	removed	removed
E2F3	338.6881	E2F3	363.4953
E2F4	888.5542	E2F4	916.2358
E2F5	84.16	E2F5	8.5109
E2F6	245.3146	E2F6	973.1127
E2F7	8.3668	removed	removed
E2F8	8.3668	E2F8	839.1934
E4F1	652.6104	E4F1	337.6422
EAF1	847.3896	EAF1	451.9131
EAF2	36.8139	EAF2	46.5357
EAPP	920.6827	EAPP	660.2896
EARS2	1086.3454	EARS2	906.4116
EBAG9	923.6948	EBAG9	764.7363
EBF1	353.079	EBF1	410.5481
EBF2	56.5596	EBF2	172.6991
EBF3	136.8809	EBF3	546.0186
EBF4	165.6627	EBF4	19.6484
EBI3	51.5395	removed	removed
EBNA1BP2	768.407	EBNA1BP2	552.7404
EBPL	182.0616	EBPL	92.0372
EBP	326.3052	EBP	160.8066
ECD	609.1031	ECD	490.6929
ECE1	5289.1566	ECE1	1574.9741
ECE2	62.249	ECE2	32.575
removed	removed	ECEL1	98.759
ECH1	2198.7952	ECH1	17905.3775
ECHDC1	323.9625	ECHDC1	1238.8831
ECHDC2	283.1325	ECHDC2	908.4798
ECHDC3	175.7028	ECHDC3	685.1086
ECHS1	2652.6104	ECHS1	5702.1717
ECM1	759.0361	ECM1	574.9741
ECM2	1019.7456	ECM2	954.4984
ECSCR	82.664	ECSCR	187.1768
ECSIT	474.5649	ECSIT	2045.5016
ECT2L	173.6948	ECT2L	5.1706
ECT2	226.9076	ECT2	117.8904
EDA2R	104.7523	EDA2R	68.2523
EDARADD	1362.7845	EDARADD	19.1313
EDA	56.8942	EDA	244.0538
EDC3	768.407	EDC3	560.4964
EDC4	864.6519	EDC4	1069.8242
EDDM3B	6.6934	removed	removed
EDEM1	2200.4685	EDEM1	414.1675
EDEM2	892.5703	EDEM2	156.1531
EDEM3	4242.6372	EDEM3	928.1282
EDF1	2729.2503	EDF1	2896.5874
EDIL3	831.66	EDIL3	35.1603
EDN1	34.4712	EDN1	81.696
EDN2	50.8701	removed	removed
removed	removed	EDN3	88.9349
EDNRA	1407.6305	EDNRA	254.9121
EDNRB	400.6024	EDNRB	488.1075
EEA1	806.8942	EEA1	2160.8066
EED	240.9639	EED	310.2378
EEF1A1P9	3640.5622	EEF1A1P9	1203.7229
EEF1A1	57555.8902	EEF1A1	21039.8139
EEF1A2	1176.0375	EEF1A2	58948.8108
EEF1B2	1771.0843	EEF1B2	6177.8697
EEF1D	2864.7925	EEF1D	6230.6101
EEF1E1	276.4391	EEF1E1	187.1768
EEF1G	10861.7805	EEF1G	29949.8449
EEF2K	2007.3628	EEF2K	3137.0217
EEF2	36707.4967	EEF2	83143.2265
EEFSEC	608.0823	EEFSEC	445.9049
EEPD1	166.6667	EEPD1	1146.8459
EFCAB2	177.0415	EFCAB2	226.9907
EFCAB4A	377.1754	EFCAB4A	33.092
EFCAB4B	278.1124	EFCAB4B	16.029
EFCAB6	36.4793	removed	removed
EFCAB7	111.1111	EFCAB7	132.8852
EFEMP1	1889.8929	EFEMP1	2114.2709
EFEMP2	1342.0348	EFEMP2	950.3619
EFHA1	772.7577	EFHA1	1663.3919
EFHA2	51.2048	EFHA2	155.636
EFHC1	196.7871	EFHC1	50.6722
EFHC2	19.0763	removed	removed
EFHD1	9909.6386	EFHD1	752.3268
EFHD2	826.3052	EFHD2	157.1872
EFNA1	2689.759	EFNA1	236.2978
EFNA3	261.7738	EFNA3	8.7901
EFNA4	304.826	EFNA4	24.302
EFNA5	229.2503	EFNA5	35.6774
EFNB1	389.2236	EFNB1	383.6608
EFNB2	775.4351	EFNB2	788.0041
EFNB3	72.6238	EFNB3	26.8873
EFR3A	1995.6493	EFR3A	3330.9204
EFR3B	32.7979	EFR3B	669.0796
EFS	168.34	EFS	141.1582
EFTUD1	712.5167	EFTUD1	717.1665
EFTUD2	1518.7416	EFTUD2	2322.5181
EGFL6	176.0375	removed	removed
EGFL7	355.087	EGFL7	392.4509
EGFL8	48.6379	EGFL8	41.2823
EGFLAM	240.6292	EGFLAM	2186.1427
EGFR	147.5837	EGFR	855.212
EGF	222.5569	EGF	2049.6381
EGLN1	1860.7764	EGLN1	7946.7425
EGLN2	1548.5274	EGLN2	594.1055
EGLN3	1232.9317	EGLN3	531.0238
EGOT	83.3333	removed	removed
EGR1	3379.8527	EGR1	97190.2792
EGR2	378.8487	EGR2	1051.1892
EGR3	238.6212	EGR3	966.3909
EHBP1L1	671.6867	EHBP1L1	5825.2327
EHBP1	679.7189	EHBP1	832.9886
EHD1	973.5609	EHD1	1222.3371
EHD2	2115.1272	EHD2	2704.757
EHD3	304.2169	EHD3	118.9245
EHD4	2245.6493	EHD4	470.0103
EHF	1550.2008	removed	removed
EHHADH	80.656	EHHADH	151.4995
EHMT1	1143.909	EHMT1	795.243
EHMT2	836.6801	EHMT2	337.1251
EI24	2401.2718	EI24	2608.0662
EID1	3522.0884	EID1	6324.7156
EID2B	23.7617	EID2B	44.4674
EID2	296.5194	EID2	249.2244
EID3	20.0803	EID3	12.9266
EIF1AD	879.8527	EIF1AD	641.6753
EIF1AX	2651.6064	EIF1AX	4119.4416
EIF1B	569.2771	EIF1B	1668.0455
EIF1	7654.2838	EIF1	31258.0145
EIF2AK1	6116.1881	EIF2AK1	2188.6194
EIF2AK2	419.0094	EIF2AK2	254.395
EIF2AK3	2606.7604	EIF2AK3	291.6236
EIF2AK4	1137.5502	EIF2AK4	1039.8139
EIF2A	2146.2517	EIF2A	2481.3857
EIF2B1	862.7845	EIF2B1	970.5274
EIF2B2	422.6908	EIF2B2	893.485
EIF2B3	380.1874	EIF2B3	1549.6381
EIF2B4	589.3574	EIF2B4	780.7653
EIF2B5	1301.8742	EIF2B5	1948.8108
EIF2C1	833.668	EIF2C1	924.5088
EIF2C2	192.4364	EIF2C2	693.8987
EIF2C3	116.8005	EIF2C3	191.3133
EIF2C4	407.6305	EIF2C4	978.2834
EIF2S1	1563.5877	EIF2S1	2363.4953
EIF2S2	1720.5489	EIF2S2	2161.8407
EIF2S3	6326.3052	EIF2S3	3485.0052
EIF3A	5726.9076	EIF3A	8502.0683
EIF3B	2981.593	EIF3B	4067.7353
EIF3CL	14349.2637	EIF3CL	14215.2275
EIF3C	499.4645	EIF3C	273.3971
EIF3D	2583.3333	EIF3D	2922.4405
EIF3E	3803.5475	EIF3E	6332.9886
EIF3F	1453.1459	EIF3F	3990.1758
EIF3G	1343.3735	EIF3G	4041.3289
EIF3H	2323.9625	EIF3H	4292.1406
EIF3I	2309.9264	EIF3I	4315.4447
EIF3J	1783.8019	EIF3J	4023.7849
EIF3K	2325.9705	EIF3K	6731.1272
EIF3L	3633.1995	EIF3L	11027.9214
EIF3M	7631.3989	EIF3M	1969.2037
EIF4A1	5964.9933	EIF4A1	3257.0631
EIF4A2	5391.2316	EIF4A2	18023.7849
EIF4A3	1202.1419	EIF4A3	848.5005
EIF4B	6157.8347	EIF4B	21588.8728
EIF4E1B	103.7483	removed	removed
EIF4E2	1309.5716	EIF4E2	2118.9245
EIF4E3	324.2972	EIF4E3	3275.5946
EIF4EBP1	213.5207	EIF4EBP1	218.2006
EIF4EBP2	3675.3681	EIF4EBP2	6109.6174
EIF4EBP3	579.1968	EIF4EBP3	368.9038
EIF4ENIF1	805.8902	EIF4ENIF1	748.7073
EIF4E	374.8327	EIF4E	406.4116
EIF4G1	8869.4779	EIF4G1	17715.6153
EIF4G2	14896.2517	EIF4G2	29260.5998
EIF4G3	2330.656	EIF4G3	3398.6556
EIF4H	5412.6506	EIF4H	5249.7415
EIF5A2	153.2798	EIF5A2	62.5646
EIF5AL1	801.8742	EIF5AL1	1670.1138
EIF5A	3645.2477	EIF5A	6560.4964
EIF5B	3547.1888	EIF5B	4958.1179
EIF5	6783.8019	EIF5	9642.1923
EIF6	1631.8608	EIF6	550.1551
ELAC1	81.3822	ELAC1	55.5688
ELAC2	586.3454	ELAC2	2122.0269
removed	removed	ELANE	5.6877
ELAVL1	1700.8032	ELAVL1	1310.7549
ELAVL2	7.6975	removed	removed
ELF1	1176.3722	ELF1	763.1851
ELF2	649.9331	ELF2	1506.2048
ELF3	13923.3601	removed	removed
ELF4	428.7149	ELF4	188.728
ELFN1	68.6078	ELFN1	18.6143
ELFN2	6.6934	removed	removed
ELK1	883.1995	ELK1	843.3299
ELK3	887.2155	ELK3	539.8139
ELK4	290.1606	ELK4	271.4581
ELL2	4892.905	ELL2	343.8469
ELL3	639.3775	ELL3	62.3268
ELL	609.1031	ELL	762.668
ELMO1	591.0308	ELMO1	347.4664
ELMO2	1658.2999	ELMO2	1279.2141
ELMO3	619.8126	removed	removed
removed	removed	ELMOD1	48.0869
ELMOD2	313.5877	ELMOD2	110.1344
ELMOD3	401.9411	ELMOD3	259.0486
ELN	5815.5957	ELN	1154.0848
ELOF1	902.6104	ELOF1	495.3464
ELOVL1	1442.4364	ELOVL1	377.9731
ELOVL2	41.4993	ELOVL2	59.4623
removed	removed	ELOVL3	5.6877
ELOVL4	35.8099	ELOVL4	17.0631
ELOVL5	13047.8581	ELOVL5	442.0889
ELOVL6	166.6667	ELOVL6	32.575
ELOVL7	134.8728	ELOVL7	17.5801
ELP2P	6.6934	removed	removed
ELP2	1625.502	ELP2	1490.1758
ELP3	784.1365	ELP3	1293.1748
ELP4	213.1861	ELP4	299.3795
ELTD1	791.4993	ELTD1	839.7104
EMB	1260.3748	EMB	180.9721
EMCN	533.4672	EMCN	922.9576
EMD	1093.7082	EMD	1362.9783
EME1	9.9665	EME1	6.9648
EME2	28.1124	EME2	6.7218
EMG1	433.2932	EMG1	418.304
EMID1	97.0549	EMID1	23.2678
EMILIN1	1217.8715	EMILIN1	259.5657
EMILIN2	258.7015	EMILIN2	388.8314
EMILIN3	7.5971	EMILIN3	35
EML1	556.5596	EML1	1764.7363
EML2	656.2517	EML2	101.334
EML3	609.1031	EML3	147.88
EML4	991.9679	EML4	300.9307
EML5	62.9183	EML5	19.6484
removed	removed	EML6	58.9452
EMP1	2751.004	EMP1	5448.2937
EMP2	6738.9558	EMP2	1127.1975
EMP3	460.5087	EMP3	291.1065
EMR1	25.1004	removed	removed
EMR2	234.6051	EMR2	13.9607
EMX1	123.494	removed	removed
EMX2OS	18.0723	EMX2OS	399.6898
EMX2	11.3788	EMX2	269.3899
EN1	42.1687	EN1	168.5626
removed	removed	EN2	11.8925
ENAH	4737.9518	ENAH	4095.6567
removed	removed	ENAM	380.5584
ENC1	2350.656	ENC1	400.7239
ENDOD1	840.0268	ENDOD1	4494.3123
ENDOG	150.5087	ENDOG	1355.0879
ENGASE	233.6011	ENGASE	471.5615
ENG	3500.6693	ENG	2720.2689
ENHO	24.4311	ENHO	7.2389
ENO1	7572.2892	ENO1	4225.9566
ENO2	1056.5596	ENO2	96.1737
ENO3	48.1928	ENO3	197500.5171
ENOPH1	769.0763	ENOPH1	550.1551
ENOSF1	248.0221	ENOSF1	157.2596
ENOX1	70.2811	ENOX1	44.9845
ENOX2	419.6787	ENOX2	311.272
ENPEP	398.2597	ENPEP	397.1044
ENPP1	5368.8086	ENPP1	470.5274
ENPP2	247.992	ENPP2	540.848
ENPP3	9.3708	ENPP3	5.6877
ENPP4	1936.4123	ENPP4	1665.9772
ENPP5	4236.2784	ENPP5	192.8645
ENPP6	10.7095	ENPP6	77.0424
ENSA	4425.3681	ENSA	7603.9297
ENTPD1	1807.5636	ENTPD1	875.9049
ENTPD2	48.8621	ENTPD2	24.819
ENTPD3	35.8099	ENTPD3	41.8821
ENTPD4	656.6265	ENTPD4	449.8449
ENTPD5	671.6365	ENTPD5	261.4685
ENTPD6	1631.1914	ENTPD6	638.0558
ENTPD7	710.4819	ENTPD7	51.8769
ENTPD8	70.2811	removed	removed
ENY2	541.834	ENY2	597.7249
EOMES	19.411	removed	removed
EP300	3148.2597	EP300	2961.7373
EP400NL	128.8487	EP400NL	71.8718
EP400	1009.0361	EP400	1349.5346
EPAS1	15302.2088	EPAS1	5177.8697
EPB41L1	2657.2959	EPB41L1	480.3516
EPB41L2	2035.4752	EPB41L2	1800.9307
EPB41L3	1307.8983	EPB41L3	683.5574
EPB41L4A	359.1031	EPB41L4A	198.0352
EPB41L4B	1221.8876	EPB41L4B	11.3754
EPB41L5	894.913	EPB41L5	391.4168
EPB41	752.7108	EPB41	1069.9845
EPB49	660.6426	EPB49	867.1148
EPC1	434.739	EPC1	1043.4333
EPC2	775.7697	EPC2	800.4137
EPCAM	1621.4859	removed	removed
EPDR1	97.3896	EPDR1	3824.1986
EPHA10	98.7282	removed	removed
EPHA1	713.1861	removed	removed
EPHA2	250	EPHA2	234.7466
EPHA3	102.4096	EPHA3	231.1272
EPHA4	206.158	EPHA4	229.0589
removed	removed	EPHA7	12.9266
EPHB1	21.0843	EPHB1	237.849
EPHB2	547.5234	EPHB2	50.6722
EPHB3	787.4833	EPHB3	60.4964
EPHB4	2387.8849	EPHB4	516.546
EPHB6	67.6037	EPHB6	63.5988
EPHX1	6724.8996	EPHX1	2878.4902
EPHX2	1401.9411	EPHX2	314.3744
EPHX3	10.3748	removed	removed
EPHX4	449.1299	EPHX4	6.7218
EPM2AIP1	1052.2088	EPM2AIP1	1889.8656
EPM2A	153.2798	EPM2A	3607.5491
EPN1	1410.9772	EPN1	2498.9659
EPN2	846.7202	EPN2	989.6587
EPN3	513.7216	removed	removed
EPOR	79.913	EPOR	32.0476
EPPK1	162.3159	EPPK1	17.5801
EPR1	35.1807	EPR1	10
EPRS	3211.8474	EPRS	4832.9886
EPS15L1	701.8072	EPS15L1	1386.2461
EPS15	1555.2209	EPS15	3553.7746
EPS8L1	372.8246	EPS8L1	7.7559
EPS8L2	736.6131	EPS8L2	16.546
EPS8	1444.7791	EPS8	785.4188
EPSTI1	318.6078	EPSTI1	41.365
EPT1	1066.2584	EPT1	537.2079
EPYC	372.1553	removed	removed
ERAL1	1074.2972	ERAL1	1593.0714
ERAP1	1634.8025	ERAP1	1836.0341
ERAP2	1372.49	ERAP2	553.7746
ERBB2IP	2826.9746	ERBB2IP	2748.1903
ERBB2	599.3976	ERBB2	1615.8221
ERBB3	6151.6064	ERBB3	68.7694
ERBB4	3065.261	ERBB4	471.5615
ERC1	1721.2182	ERC1	1494.3123
ERCC1	790.0703	ERCC1	943.7642
ERCC2	253.5074	ERCC2	392.4509
ERCC3	1018.407	ERCC3	1172.182
ERCC4	538.822	ERCC4	517.0631
ERCC5	1101.4056	ERCC5	1103.3299
ERCC6L	7.6975	ERCC6L	5.6877
ERCC6	181.4625	ERCC6	336.4788
ERCC8	141.2316	ERCC8	140.1241
removed	removed	EREG	5.6877
ERF	955.1539	ERF	307.6525
ERGIC1	7672.0214	ERGIC1	4363.4953
ERGIC2	897.925	ERGIC2	742.5026
ERGIC3	3839.6921	ERGIC3	1518.6143
ERG	434.739	ERG	609.6174
ERH	1771.419	ERH	914.6846
ERI1	241.9679	ERI1	120.9928
ERI2	511.7001	ERI2	271.4685
ERI3	580.656	ERI3	1370.7342
ERICH1	175.3681	ERICH1	92.0372
ERLEC1	2238.9558	ERLEC1	1129.7828
ERLIN1	1179.3842	ERLIN1	413.6505
ERLIN2	1748.2865	ERLIN2	1298.03
ERMAP	354.083	ERMAP	139.09
ERMN	19.411	removed	removed
ERMP1	5041.8608	ERMP1	818.6918
ERN1	1312.249	ERN1	126.1634
ERO1LB	635.5422	ERO1LB	92.5543
ERO1L	875.8367	ERO1L	304.0331
ERP27	120.4819	ERP27	7.2389
ERP29	1520.0803	ERP29	727.5078
ERP44	1642.2356	ERP44	764.7363
ERRFI1	1686.747	ERRFI1	996.8976
ESAM	933.0656	ESAM	1209.4105
ESCO1	758.3668	ESCO1	555.3257
ESCO2	14.7256	ESCO2	7.7559
ESD	1390.5622	ESD	2638.5729
ESF1	465.5288	ESF1	572.9059
ESM1	265.7296	ESM1	40.848
ESPL1	22.0884	ESPL1	7.7559
ESPN	657.9652	removed	removed
ESR1	7420.3481	ESR1	600.8273
removed	removed	ESR2	10.8583
ESRP1	8942.7711	removed	removed
ESRP2	1112.1151	ESRP2	166.4943
ESRRA	573.6278	ESRRA	2498.9659
ESRRB	15.3949	ESRRB	178.3868
ESRRG	30.1205	ESRRG	424.5088
ESYT1	3183.4003	ESYT1	2334.0228
ESYT2	3697.7912	ESYT2	3719.2347
ESYT3	6.6934	ESYT3	12.9266
ETAA1	408.9692	ETAA1	234.2296
ETF1	4177.3762	ETF1	3493.7952
ETFA	898.2597	ETFA	6426.577
ETFB	720.8835	ETFB	2592.0372
ETFDH	290.1606	ETFDH	4320.5688
ETHE1	320.6158	ETHE1	311.789
ETNK1	1155.6225	ETNK1	365.5636
ETNK2	608.0991	ETNK2	17.0631
ETS1	3383.1995	ETS1	3142.1923
ETS2	1492.6372	ETS2	4294.2089
ETV1	326.6399	ETV1	94.6225
ETV3L	7.6975	ETV3L	6.7218
ETV3	484.9398	ETV3	262.151
ETV4	125.1673	ETV4	11.8925
ETV5	733.2664	ETV5	290.5895
ETV6	2546.5194	ETV6	231.6443
ETV7	36.8139	removed	removed
EVC2	86.3454	EVC2	51.1892
EVC	904.5649	EVC	199.7518
EVI2A	423.6948	EVI2A	40.848
EVI2B	577.6439	EVI2B	89.4519
EVI5L	513.7216	EVI5L	660.8066
EVI5	490.9639	EVI5	272.4922
EVL	3821.2851	EVL	513.9607
EVPL	237.9518	removed	removed
EWSR1	2803.2129	EWSR1	2394.0021
EXD2	856.091	EXD2	607.0321
EXD3	244.9799	EXD3	98.759
EXO1	7.0281	EXO1	5.6877
EXOC1	524.0964	EXOC1	683.5574
EXOC2	934.4043	EXOC2	721.303
EXOC3L2	142.2356	EXOC3L2	22.7508
EXOC3L	88.0187	EXOC3L	55.6774
EXOC3	994.6452	EXOC3	2513.4436
EXOC4	1764.3909	EXOC4	3693.3816
EXOC5	1506.6934	EXOC5	1631.334
EXOC6B	170.6827	EXOC6B	337.6422
EXOC6	611.1111	EXOC6	1678.3868
EXOC7	2220.164	EXOC7	2064.5553
EXOC8	666.6667	EXOC8	688.728
EXOG	68.9424	EXOG	110.6515
EXOSC10	886.2115	EXOSC10	883.1437
EXOSC1	309.9063	EXOSC1	264.7363
EXOSC2	401.9411	EXOSC2	468.9762
EXOSC3	203.4806	EXOSC3	81.696
EXOSC4	206.4926	EXOSC4	113.2368
EXOSC5	264.7256	EXOSC5	419.8552
EXOSC6	239.6252	EXOSC6	307.1355
EXOSC7	362.4498	EXOSC7	663.909
EXOSC8	205.512	EXOSC8	343.697
EXOSC9	317.6406	EXOSC9	491.0238
EXPH5	429.3842	EXPH5	26.8873
EXT1	651.9411	EXT1	495.8635
EXT2	5831.66	EXT2	977.7663
EXTL1	20.0803	EXTL1	1044.9845
EXTL2	269.7456	EXTL2	323.1644
EXTL3	1108.0991	EXTL3	1502.5853
removed	removed	EYA1	249.2244
EYA2	664.9933	EYA2	11.8925
EYA3	132.1954	EYA3	156.1531
EYA4	18.407	EYA4	1628.7487
EYS	12.3829	EYS	11.3754
EZH1	940.4284	EZH1	1676.3185
EZH2	111.1111	EZH2	59.9793
EZR	11037.1486	EZR	885.7291
F10	31.1245	F10	436.9183
F11R	3343.3735	F11R	566.7011
F12	16.3989	removed	removed
F13A1	1817.9384	F13A1	1053.2575
F2RL1	62.249	F2RL1	7.7559
F2RL2	626.8407	removed	removed
F2RL3	118.1392	F2RL3	7.7559
F2R	1730.9237	F2R	635.9876
F3	378.8487	F3	200.1034
F5	2737.9518	F5	12.4095
F7	161.6466	removed	removed
F8A1	115.4618	F8A1	153.5677
F8	388.2363	F8	1692.8645
FA2H	13.3869	removed	removed
FAAH2	517.4029	removed	removed
FAAH	317.2691	FAAH	294.2089
FABP3	75.9705	FABP3	24269.3899
FABP4	15.3949	FABP4	2092.0372
FABP5	24.4311	FABP5	178.3868
removed	removed	FABP7	48.0869
FADD	718.2062	FADD	235.7808
FADS1	792.1118	FADS1	195.9669
FADS2	1637.6071	FADS2	628.2316
FADS3	161.3119	FADS3	277.1458
FAF1	665.6627	FAF1	2405.3775
FAF2	2946.4525	FAF2	808.1696
FAHD1	903.6145	FAHD1	989.6587
FAHD2A	298.1928	FAHD2A	578.5936
FAHD2B	592.7041	FAHD2B	570.8376
FAH	803.8822	FAH	649.9483
FAIM2	316.2651	FAIM2	185.1086
FAIM3	1055.7865	FAIM3	70.6463
FAIM	250.6693	FAIM	80.6618
FAM100A	407.2959	FAM100A	382.1096
FAM100B	558.9023	FAM100B	762.151
FAM101A	53.2129	FAM101A	128.2316
FAM101B	460.8434	FAM101B	608.5832
FAM102A	6071.2851	FAM102A	219.2347
FAM102B	2750.3347	FAM102B	334.0228
FAM103A1	323.9625	FAM103A1	371.7632
FAM104A	552.1051	FAM104A	581.5357
FAM104B	145.2477	FAM104B	211.9959
FAM105A	640.5622	FAM105A	45.5016
FAM105B	479.585	FAM105B	415.7187
FAM107A	68.9424	FAM107A	744.5708
FAM107B	2055.2209	FAM107B	303.516
FAM108A1	365.1272	FAM108A1	560.4964
FAM108B1	530.1205	FAM108B1	598.242
FAM108C1	570.6158	FAM108C1	35.1603
FAM109A	188.0857	FAM109A	158.7384
FAM109B	359.7724	FAM109B	109.6174
FAM10A4	199.4645	FAM10A4	563.0817
FAM110A	642.905	FAM110A	89.969
FAM110B	340.3614	FAM110B	610.1344
FAM110C	25.1004	removed	removed
FAM111A	1278.7818	FAM111A	172.182
FAM111B	45.5154	FAM111B	10.8583
FAM113A	620.4819	FAM113A	94.1055
FAM113B	902.6104	FAM113B	22.2337
FAM114A1	1055.5556	FAM114A1	923.4747
FAM114A2	583.668	FAM114A2	754.395
FAM115A	741.9679	FAM115A	492.2441
FAM115C	780.0703	FAM115C	35.8273
FAM116A	753.6814	FAM116A	515.5119
FAM116B	116.8005	FAM116B	16.029
FAM117A	249.6653	FAM117A	186.1427
FAM117B	286.8139	FAM117B	138.5729
FAM118A	229.585	FAM118A	286.4529
FAM118B	312.9183	FAM118B	603.4126
FAM119A	87.0147	FAM119A	173.7332
FAM119B	516.3989	FAM119B	55.8428
FAM120AOS	1767.2959	FAM120AOS	743.1696
FAM120A	6175.4752	FAM120A	5831.8046
FAM120B	633.1995	FAM120B	730.6101
FAM120C	434.739	FAM120C	238.8831
FAM122A	624.8327	FAM122A	805.5843
FAM122B	762.3829	FAM122B	163.3919
FAM122C	16.0643	FAM122C	24.302
FAM123B	220.2142	FAM123B	476.7322
FAM124A	15.0602	FAM124A	25.3361
FAM124B	43.5074	FAM124B	72.3888
FAM125A	281.1245	FAM125A	217.6836
FAM125B	567.6037	FAM125B	1045.5016
FAM126A	373.1593	FAM126A	1511.3754
FAM126B	506.3588	FAM126B	430.1965
FAM127A	1526.5194	FAM127A	2869.4778
FAM127B	718.2062	FAM127B	337.1251
FAM127C	542.5033	FAM127C	261.6339
FAM128A	294.1767	FAM128A	170.6308
FAM128B	508.3668	FAM128B	626.1634
FAM129A	1966.1981	FAM129A	8560.4964
FAM129B	4706.4926	FAM129B	753.878
FAM131A	383.1995	FAM131A	298.8625
FAM131B	2945.1138	FAM131B	69.8035
FAM133A	11.0442	removed	removed
FAM133B	155.6225	FAM133B	69.2865
FAM134A	3113.1191	FAM134A	797.8283
FAM134B	580.9906	FAM134B	5715.0982
FAM134C	2313.5877	FAM134C	1263.1851
FAM135A	191.7671	FAM135A	387.7973
FAM135B	316.2651	FAM135B	18.6143
FAM136A	457.162	FAM136A	730.0931
FAM13AOS	26.5997	FAM13AOS	21.7942
FAM13A	668.5141	FAM13A	894.4416
FAM13B	1033.8019	FAM13B	372.7663
FAM13C	111.8106	FAM13C	728.9607
FAM149A	44.1767	FAM149A	109.6174
FAM149B1	335.3414	FAM149B1	691.3133
FAM151B	91.0308	FAM151B	8.7901
FAM154B	51.2048	FAM154B	8.273
FAM155A	43.842	FAM155A	7.7559
FAM155B	37.8179	FAM155B	7.2389
FAM156A	414.6586	FAM156A	157.1872
FAM158A	149.5984	FAM158A	386.7632
FAM159A	13.0522	FAM159A	5.6877
FAM160A1	78.6479	FAM160A1	1181.4891
FAM160A2	488.2865	FAM160A2	481.3857
removed	removed	FAM160B1	1023.7849
FAM160B2	1348.3936	FAM160B2	954.4984
FAM161A	36.8139	FAM161A	85.3154
FAM161B	244.6754	FAM161B	237.849
FAM162A	1176.3722	FAM162A	1619.4416
FAM162B	20.415	FAM162B	70.3206
FAM164A	642.2356	FAM164A	111.1686
FAM164C	96.0509	FAM164C	77.5595
FAM165B	277.7778	FAM165B	480.3516
removed	removed	FAM166B	2365.0465
FAM167A	747.3226	removed	removed
FAM167B	69.6118	FAM167B	21.7166
FAM168A	426.7068	FAM168A	397.6215
FAM168B	2707.162	FAM168B	3305.0672
FAM169A	902.2758	FAM169A	41.365
FAM171A1	263.0522	FAM171A1	279.7311
FAM171A2	22.7577	removed	removed
FAM171B	1340.3614	FAM171B	172.182
FAM172A	640.8969	FAM172A	271.4581
FAM173A	148.2597	FAM173A	102.8956
FAM173B	279.7858	FAM173B	142.1923
FAM174A	465.1941	FAM174A	525.8532
FAM174B	4858.0991	FAM174B	252.8438
FAM175A	146.4726	FAM175A	578.1696
FAM175B	649.5984	FAM175B	917.2699
FAM176A	163.6546	FAM176A	35.6774
FAM176B	130.6961	FAM176B	49.6381
FAM177A1	1150.9371	FAM177A1	655.1189
FAM177B	5.0201	removed	removed
FAM178A	1166.6667	FAM178A	1929.1624
FAM178B	34.4712	removed	removed
FAM179A	6.0241	FAM179A	45.5016
FAM179B	782.4632	FAM179B	967.425
FAM180A	92.7041	FAM180A	31.0238
removed	removed	FAM180B	258.0145
removed	removed	FAM181A	8.7901
FAM182B	58.9023	FAM182B	18.0972
FAM184A	42.1687	FAM184A	19.1313
removed	removed	FAM184B	91.06
FAM185A	158.9692	FAM185A	247.6732
FAM186B	6.0241	FAM186B	22.2337
FAM188A	173.6948	FAM188A	303.516
FAM188B	208.8119	FAM188B	90.9049
FAM189A1	43.1727	removed	removed
FAM189A2	209.8394	FAM189A2	1952.4302
FAM189B	672.0214	FAM189B	749.2244
FAM18A	12.8614	FAM18A	5.1706
FAM18B2	182.8179	FAM18B2	119.7518
FAM18B	891.9009	FAM18B	398.6556
FAM190A	50.5355	FAM190A	7.7559
FAM190B	1570.2811	FAM190B	6029.9897
FAM192A	1127.8447	FAM192A	1519.1313
FAM193A	585.676	FAM193A	672.182
FAM193B	570.2811	FAM193B	308.1696
FAM195A	436.0776	FAM195A	894.0021
FAM195B	769.7456	FAM195B	562.5646
FAM196A	16.3989	removed	removed
FAM196B	7.3628	removed	removed
FAM198A	189.759	FAM198A	76.5253
FAM198B	3578.9826	FAM198B	2099.7932
FAM199X	1086.3454	FAM199X	479.8345
FAM19A2	16.7336	FAM19A2	5.6877
FAM19A3	6.6934	removed	removed
FAM19A5	51.8742	removed	removed
